,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
3524,1220227200000,2008-09-01,9,2008,-67.14906748793423,0.22457882102988036,209.17508393526077,135.30681870200416,2
4052,1220227200000,2008-09-01,9,2008,-66.25075220381471,0.22457882102988036,188.90774220228195,157.5,2
2732,1220227200000,2008-09-01,9,2008,-66.69990984587447,-0.22457882102988036,193.683206807822,150.85227272727272,2
1940,1220227200000,2008-09-01,9,2008,-66.25075220381471,-0.6737364630896411,200.80787551403046,157.2272742878307,2
356,1220227200000,2008-09-01,9,2008,-67.14906748793423,-1.1228941051494017,231.29679305106401,164.92500114440918,2
620,1220227200000,2008-09-01,9,2008,-66.69990984587447,-1.1228941051494017,239.91660898923874,165.375,2
884,1220227200000,2008-09-01,9,2008,-66.25075220381471,-1.1228941051494017,234.09914380311966,160.87500286102295,2
1676,1220227200000,2008-09-01,9,2008,-66.69990984587447,-0.6737364630896411,210.00207787752151,142.875,2
1412,1220227200000,2008-09-01,9,2008,-67.14906748793423,-0.6737364630896411,222.60263586044312,160.2500057220459,2
1148,1220227200000,2008-09-01,9,2008,-67.59822512999399,-0.6737364630896411,203.0850951075554,161.47500228881836,2
2468,1220227200000,2008-09-01,9,2008,-67.14906748793423,-0.22457882102988036,201.59836196899414,146.47500228881836,2
2996,1220227200000,2008-09-01,9,2008,-66.25075220381471,-0.22457882102988036,163.2741933465004,165.23863792419434,2
2204,1220227200000,2008-09-01,9,2008,-67.59822512999399,-0.22457882102988036,199.29110369086266,142.5,2
92,1220227200000,2008-09-01,9,2008,-67.59822512999399,-1.1228941051494017,187.0964497551322,159.49999809265137,2
3788,1220227200000,2008-09-01,9,2008,-66.69990984587447,0.22457882102988036,211.25395737588406,140.92500114440918,2
3260,1220227200000,2008-09-01,9,2008,-67.59822512999399,0.22457882102988036,202.7875147163868,147.14999961853027,2
1413,1222819200000,2008-10-01,10,2008,-67.14906748793423,-0.6737364630896411,192.23185396194458,157.32499408721924,2
4053,1222819200000,2008-10-01,10,2008,-66.25075220381471,0.22457882102988036,209.94772452116013,146.08750295639038,2
3261,1222819200000,2008-10-01,10,2008,-67.59822512999399,0.22457882102988036,223.79642337560654,153.67143195016044,2
357,1222819200000,2008-10-01,10,2008,-67.14906748793423,-1.1228941051494017,288.6391938328743,151.125,2
621,1222819200000,2008-10-01,10,2008,-66.69990984587447,-1.1228941051494017,257.3890464603901,152.33055029975043,2
2997,1222819200000,2008-10-01,10,2008,-66.25075220381471,-0.22457882102988036,176.92764228582382,173.98750591278076,2
2733,1222819200000,2008-10-01,10,2008,-66.69990984587447,-0.22457882102988036,172.5413742363453,153.73416528701782,2
2469,1222819200000,2008-10-01,10,2008,-67.14906748793423,-0.22457882102988036,195.13409024477005,155.38749408721924,2
2205,1222819200000,2008-10-01,10,2008,-67.59822512999399,-0.22457882102988036,223.37378333508968,141.09306081136066,2
1677,1222819200000,2008-10-01,10,2008,-66.69990984587447,-0.6737364630896411,181.993911921978,157.19582774904038,2
1149,1222819200000,2008-10-01,10,2008,-67.59822512999399,-0.6737364630896411,189.81651321053505,155.38750558429294,2
3789,1222819200000,2008-10-01,10,2008,-66.69990984587447,0.22457882102988036,230.7647484242916,142.7937514781952,2
1941,1222819200000,2008-10-01,10,2008,-66.25075220381471,-0.6737364630896411,165.79858991503716,168.2783337275187,2
93,1222819200000,2008-10-01,10,2008,-67.59822512999399,-1.1228941051494017,238.51536178588864,162.74999999999997,2
3525,1222819200000,2008-10-01,10,2008,-67.14906748793423,0.22457882102988036,229.37189542502165,147.30535629817416,2
1678,1225497600000,2008-11-01,11,2008,-66.69990984587447,-0.6737364630896411,371.09232544898987,123.92500019073486,2
